Stenocactus wippermannii	Amanda Ghassaei	Stenocactus wippermannii		cactus	{"centerX":1141,"centerY":1462,"angle":137.5,"reverse":false,"imageWidth":2348,"imageHeight":3114,"uuid":"c7189bd3-4f7d-4e39-bb1c-03196d5b83ec"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Red Cabbage	Amanda Ghassaei	Brassica oleracea	Red Cabbage	vegetable, edible	{"centerX":1232,"centerY":1172,"angle":137.5,"reverse":false,"imageWidth":2433,"imageHeight":2433,"uuid":"56d8bdd9-236e-4db1-87f2-2a41ce06bc04"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Bromeliad NoID	Amanda Ghassaei	Bromeliad			{"centerX":1504,"centerY":1760,"angle":137.5,"reverse":true,"imageWidth":3024,"imageHeight":4032,"uuid":"1127fe49-d1b6-45a7-97fc-5641b612fb04"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Haworthia cymbiformis var. obtusa	Amanda Ghassaei	Haworthia cymbiformis var. obtusa		succulent	{"centerX":1470,"centerY":1957,"angle":137.5,"reverse":false,"imageWidth":3024,"imageHeight":4032,"uuid":"be038707-f99e-4fdb-b08a-dbc1723c6cf3"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Astrophytum myriostigma	Amanda Ghassaei	Astrophytum myriostigma		cactus	{"centerX":1473,"centerY":2055,"angle":144,"reverse":true,"imageWidth":3024,"imageHeight":4032,"uuid":"096559c4-8298-47e7-9418-aeaad09879a9"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Aeonium leucoblepharum	Amanda Ghassaei	Aeonium leucoblepharum		succulent	{"centerX":1504,"centerY":1851,"angle":137.5,"reverse":false,"imageWidth":3024,"imageHeight":4032,"uuid":"5944b462-dee3-4bc4-9d01-ce6f256a7d25"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Agave 'Blue Glow'	Amanda Ghassaei		Agave Blue Glow	succulent	{"centerX":1496,"centerY":2043,"angle":137.5,"reverse":false,"imageWidth":3024,"imageHeight":4032,"uuid":"3a6d76a6-7272-495b-b02e-803c0ac046b8"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Mammillaria longiflora stampferi	Amanda Ghassaei	Mammillaria longiflora stampferi		cactus, flowering	{"centerX":1334,"centerY":1801,"angle":137.5,"reverse":false,"imageWidth":3024,"imageHeight":4032,"uuid":"83292ef5-6858-4697-8d40-f434a93845d3"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Haworthia cooperi	Amanda Ghassaei	Haworthia cooperi		succulent	{"centerX":1613,"centerY":2269,"angle":137.5,"reverse":true,"imageWidth":3024,"imageHeight":4032,"uuid":"2b3ea2a1-00e1-4010-aa1b-d342a64ec8a7"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Echeveria 'Doris Taylor'	Amanda Ghassaei	Echeveria	Echeveria 'Doris Taylor'	succulent, fuzzy	{"centerX":1575,"centerY":1664,"angle":137.5,"reverse":true,"imageWidth":3024,"imageHeight":4032,"uuid":"bcd4f940-d753-45f4-a76f-1ba9ed733bae"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Echeveria 'Rosea'	Amanda Ghassaei	Echeveria	Echeveria 'Rosea'	succulent	{"centerX":2266,"centerY":1411,"angle":137.5,"reverse":true,"imageWidth":4032,"imageHeight":3024,"uuid":"3a62ade6-0c77-47bf-8451-a533113910bd"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Echinopsis subdenudatum 'Dominoes'	AmandaGhassaei	Echinopsis subdenudatum	Echinopsis 'Dominoes'	cactus	{"centerX":1849,"centerY":1541,"angle":60,"reverse":false,"imageWidth":4032,"imageHeight":3024,"uuid":"d86bba2d-4630-43f4-bc6d-d24b0ca220e4"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Aeonium 'Sunburst'	Amanda Ghassaei	Aeonium decorum f. cristata	Aeonium 'Sunburst'	succulent, variegated	{"centerX":1286,"centerY":1528,"angle":137.5,"reverse":true,"imageWidth":3024,"imageHeight":3024,"uuid":"2d53b36e-ebcf-4c7f-a87f-87bdb17e395c"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
Cactus NoID	Amanda Ghassaei			cactus	{"centerX":1494,"centerY":2114,"angle":50.9,"reverse":true,"imageWidth":3024,"imageHeight":4032,"uuid":"009aa777-3fa5-42d6-9467-322d86f8e9d5"}	US	CA	San Francisco	amandaghassaei	amandaghassaei	TRUE	TRUE
